"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","GGEXP","TOT","THND_USD_CAP","A","2016",24293.26,
"FRA","GGEXP","TOT","THND_USD_CAP","A","2017",25213.41,
"FRA","GGEXP","TOT","THND_USD_CAP","A","2018",26686.63,
"FRA","GGEXP","TOT","THND_USD_CAP","A","2019",28170.02,
"DEU","GGEXP","TOT","THND_USD_CAP","A","2010",19115.76,
"DEU","GGEXP","TOT","THND_USD_CAP","A","2011",19245.11,
"DEU","GGEXP","TOT","THND_USD_CAP","A","2012",19476.22,
"DEU","GGEXP","TOT","THND_USD_CAP","A","2013",20222.13,
"DEU","GGEXP","TOT","THND_USD_CAP","A","2014",20827.41,
"DEU","GGEXP","TOT","THND_USD_CAP","A","2015",21015.38,
"DEU","GGEXP","TOT","THND_USD_CAP","A","2016",22433.88,
"DEU","GGEXP","TOT","THND_USD_CAP","A","2017",23478.3,
"DEU","GGEXP","TOT","THND_USD_CAP","A","2018",25202.91,
"DEU","GGEXP","TOT","THND_USD_CAP","A","2019",26001.46,
"GRC","GGEXP","TOT","THND_USD_CAP","A","2010",14793.25,
"GRC","GGEXP","TOT","THND_USD_CAP","A","2011",14150.08,
"GRC","GGEXP","TOT","THND_USD_CAP","A","2012",14105.68,
"GRC","GGEXP","TOT","THND_USD_CAP","A","2013",16277.19,
"GRC","GGEXP","TOT","THND_USD_CAP","A","2014",13496.76,
"GRC","GGEXP","TOT","THND_USD_CAP","A","2015",14403.42,
"GRC","GGEXP","TOT","THND_USD_CAP","A","2016",13658.74,
"GRC","GGEXP","TOT","THND_USD_CAP","A","2017",13902.19,
"GRC","GGEXP","TOT","THND_USD_CAP","A","2018",14828.11,
"GRC","GGEXP","TOT","THND_USD_CAP","A","2019",15084.29,
"HUN","GGEXP","TOT","THND_USD_CAP","A","2010",10621.34,
"HUN","GGEXP","TOT","THND_USD_CAP","A","2011",11298.39,
"HUN","GGEXP","TOT","THND_USD_CAP","A","2012",11428,
"HUN","GGEXP","TOT","THND_USD_CAP","A","2013",12289.18,
"HUN","GGEXP","TOT","THND_USD_CAP","A","2014",12857.54,
"HUN","GGEXP","TOT","THND_USD_CAP","A","2015",13501.18,
"HUN","GGEXP","TOT","THND_USD_CAP","A","2016",13076.05,
"HUN","GGEXP","TOT","THND_USD_CAP","A","2017",13744.06,
"HUN","GGEXP","TOT","THND_USD_CAP","A","2018",15080.41,
"HUN","GGEXP","TOT","THND_USD_CAP","A","2019",15940.71,
"ISL","GGEXP","TOT","THND_USD_CAP","A","2010",18930.17,
"ISL","GGEXP","TOT","THND_USD_CAP","A","2011",18030.14,
"ISL","GGEXP","TOT","THND_USD_CAP","A","2012",18377.21,
"ISL","GGEXP","TOT","THND_USD_CAP","A","2013",18719.15,
"ISL","GGEXP","TOT","THND_USD_CAP","A","2014",20027.97,
"ISL","GGEXP","TOT","THND_USD_CAP","A","2015",20209.09,
"ISL","GGEXP","TOT","THND_USD_CAP","A","2016",23606.69,
"ISL","GGEXP","TOT","THND_USD_CAP","A","2017",23725.29,
"ISL","GGEXP","TOT","THND_USD_CAP","A","2018",24912.3,
"ISL","GGEXP","TOT","THND_USD_CAP","A","2019",25518.31,
"IRL","GGEXP","TOT","THND_USD_CAP","A","2010",28204,
"IRL","GGEXP","TOT","THND_USD_CAP","A","2011",21061.77,
"IRL","GGEXP","TOT","THND_USD_CAP","A","2012",19667.61,
"IRL","GGEXP","TOT","THND_USD_CAP","A","2013",19543.76,
"IRL","GGEXP","TOT","THND_USD_CAP","A","2014",19418.64,
"IRL","GGEXP","TOT","THND_USD_CAP","A","2015",20267.48,
"IRL","GGEXP","TOT","THND_USD_CAP","A","2016",20280.66,
"IRL","GGEXP","TOT","THND_USD_CAP","A","2017",20755.46,
"IRL","GGEXP","TOT","THND_USD_CAP","A","2018",22474.73,
"IRL","GGEXP","TOT","THND_USD_CAP","A","2019",22610.5,
"ITA","GGEXP","TOT","THND_USD_CAP","A","2010",17405.1,
"ITA","GGEXP","TOT","THND_USD_CAP","A","2011",17792.93,
"ITA","GGEXP","TOT","THND_USD_CAP","A","2012",18213.9,
"ITA","GGEXP","TOT","THND_USD_CAP","A","2013",18377.05,
"ITA","GGEXP","TOT","THND_USD_CAP","A","2014",18407.09,
"ITA","GGEXP","TOT","THND_USD_CAP","A","2015",18566.7,
"ITA","GGEXP","TOT","THND_USD_CAP","A","2016",19595.51,
"ITA","GGEXP","TOT","THND_USD_CAP","A","2017",20340.77,
"ITA","GGEXP","TOT","THND_USD_CAP","A","2018",21510.64,
"ITA","GGEXP","TOT","THND_USD_CAP","A","2019",22225.33,
"JPN","GGEXP","TOT","THND_USD_CAP","A","2010",13905.15,
"JPN","GGEXP","TOT","THND_USD_CAP","A","2011",14538.37,
"JPN","GGEXP","TOT","THND_USD_CAP","A","2012",15114,
"JPN","GGEXP","TOT","THND_USD_CAP","A","2013",15900.65,
"JPN","GGEXP","TOT","THND_USD_CAP","A","2014",15752.99,
"JPN","GGEXP","TOT","THND_USD_CAP","A","2015",15889.08,
"JPN","GGEXP","TOT","THND_USD_CAP","A","2016",15711,
"JPN","GGEXP","TOT","THND_USD_CAP","A","2017",15887.24,
"JPN","GGEXP","TOT","THND_USD_CAP","A","2018",16633.35,
"JPN","GGEXP","TOT","THND_USD_CAP","A","2019",17038.99,
"KOR","GGEXP","TOT","THND_USD_CAP","A","2010",9397.42,
"KOR","GGEXP","TOT","THND_USD_CAP","A","2011",9889.06,
"KOR","GGEXP","TOT","THND_USD_CAP","A","2012",10336.41,
"KOR","GGEXP","TOT","THND_USD_CAP","A","2013",10317.89,
"KOR","GGEXP","TOT","THND_USD_CAP","A","2014",10746.01,
"KOR","GGEXP","TOT","THND_USD_CAP","A","2015",11521.64,
"KOR","GGEXP","TOT","THND_USD_CAP","A","2016",11989.72,
"KOR","GGEXP","TOT","THND_USD_CAP","A","2017",12444.47,
"KOR","GGEXP","TOT","THND_USD_CAP","A","2018",13604.55,
"KOR","GGEXP","TOT","THND_USD_CAP","A","2019",14929.81,
"LUX","GGEXP","TOT","THND_USD_CAP","A","2010",37856.05,
"LUX","GGEXP","TOT","THND_USD_CAP","A","2011",39069.07,
"LUX","GGEXP","TOT","THND_USD_CAP","A","2012",40398.48,
"LUX","GGEXP","TOT","THND_USD_CAP","A","2013",41499.94,
"LUX","GGEXP","TOT","THND_USD_CAP","A","2014",42627.75,
"LUX","GGEXP","TOT","THND_USD_CAP","A","2015",43475.53,
"LUX","GGEXP","TOT","THND_USD_CAP","A","2016",45093.99,
"LUX","GGEXP","TOT","THND_USD_CAP","A","2017",47405.34,
"LUX","GGEXP","TOT","THND_USD_CAP","A","2018",50742.86,
"LUX","GGEXP","TOT","THND_USD_CAP","A","2019",52454.91,
"MEX","GGEXP","TOT","THND_USD_CAP","A","2010",3881.96,
"MEX","GGEXP","TOT","THND_USD_CAP","A","2011",4764.23,
"MEX","GGEXP","TOT","THND_USD_CAP","A","2012",4912.05,
"MEX","GGEXP","TOT","THND_USD_CAP","A","2013",4966.29,
"MEX","GGEXP","TOT","THND_USD_CAP","A","2014",5098.86,
"MEX","GGEXP","TOT","THND_USD_CAP","A","2015",5204.45,
"MEX","GGEXP","TOT","THND_USD_CAP","A","2016",5205.43,
"MEX","GGEXP","TOT","THND_USD_CAP","A","2017",5222.54,
"MEX","GGEXP","TOT","THND_USD_CAP","A","2018",5659.83,
"MEX","GGEXP","TOT","THND_USD_CAP","A","2019",5679.95,
"NLD","GGEXP","TOT","THND_USD_CAP","A","2010",21576.62,
"NLD","GGEXP","TOT","THND_USD_CAP","A","2011",21805,
"NLD","GGEXP","TOT","THND_USD_CAP","A","2012",22100.63,
"NLD","GGEXP","TOT","THND_USD_CAP","A","2013",22908.61,
"NLD","GGEXP","TOT","THND_USD_CAP","A","2014",22520.05,
"NLD","GGEXP","TOT","THND_USD_CAP","A","2015",22434.62,
"NLD","GGEXP","TOT","THND_USD_CAP","A","2016",22787.84,
"NLD","GGEXP","TOT","THND_USD_CAP","A","2017",23459.47,
"NLD","GGEXP","TOT","THND_USD_CAP","A","2018",25262.1,"P"
"NLD","GGEXP","TOT","THND_USD_CAP","A","2019",25730.77,"P"
"NZL","GGEXP","TOT","THND_USD_CAP","A","2010",14739.07,
"NZL","GGEXP","TOT","THND_USD_CAP","A","2011",14191.52,
"NZL","GGEXP","TOT","THND_USD_CAP","A","2012",13839.21,
"NZL","GGEXP","TOT","THND_USD_CAP","A","2013",14498.26,
"NZL","GGEXP","TOT","THND_USD_CAP","A","2014",14775.57,
"NZL","GGEXP","TOT","THND_USD_CAP","A","2015",14532.47,
"NZL","GGEXP","TOT","THND_USD_CAP","A","2016",15558.25,
"NZL","GGEXP","TOT","THND_USD_CAP","A","2017",16084.73,
"NZL","GGEXP","TOT","THND_USD_CAP","A","2018",17183.61,
"NZL","GGEXP","TOT","THND_USD_CAP","A","2019",17962.64,
"NOR","GGEXP","TOT","THND_USD_CAP","A","2010",26311.38,
"NOR","GGEXP","TOT","THND_USD_CAP","A","2011",27427.94,
"NOR","GGEXP","TOT","THND_USD_CAP","A","2012",28303.33,
"NOR","GGEXP","TOT","THND_USD_CAP","A","2013",29733.83,
"NOR","GGEXP","TOT","THND_USD_CAP","A","2014",30477.3,
"NOR","GGEXP","TOT","THND_USD_CAP","A","2015",29742.02,
"NOR","GGEXP","TOT","THND_USD_CAP","A","2016",30365.4,
"NOR","GGEXP","TOT","THND_USD_CAP","A","2017",32434.18,
"NOR","GGEXP","TOT","THND_USD_CAP","A","2018",35121.15,
"NOR","GGEXP","TOT","THND_USD_CAP","A","2019",36238.77,
"POL","GGEXP","TOT","THND_USD_CAP","A","2010",9549.22,
"POL","GGEXP","TOT","THND_USD_CAP","A","2011",9942.89,
"POL","GGEXP","TOT","THND_USD_CAP","A","2012",10119.96,
"POL","GGEXP","TOT","THND_USD_CAP","A","2013",10431.83,
"POL","GGEXP","TOT","THND_USD_CAP","A","2014",10729.29,
"POL","GGEXP","TOT","THND_USD_CAP","A","2015",11058.48,
"POL","GGEXP","TOT","THND_USD_CAP","A","2016",11503.93,
"POL","GGEXP","TOT","THND_USD_CAP","A","2017",12302.91,
"POL","GGEXP","TOT","THND_USD_CAP","A","2018",13545.3,
"POL","GGEXP","TOT","THND_USD_CAP","A","2019",14548.32,
"PRT","GGEXP","TOT","THND_USD_CAP","A","2010",14159.38,
"PRT","GGEXP","TOT","THND_USD_CAP","A","2011",13390.81,
"PRT","GGEXP","TOT","THND_USD_CAP","A","2012",12925.3,
"PRT","GGEXP","TOT","THND_USD_CAP","A","2013",13946.08,
"PRT","GGEXP","TOT","THND_USD_CAP","A","2014",14869.9,
"PRT","GGEXP","TOT","THND_USD_CAP","A","2015",14310.65,
"PRT","GGEXP","TOT","THND_USD_CAP","A","2016",14171.81,
"PRT","GGEXP","TOT","THND_USD_CAP","A","2017",15039.59,
"PRT","GGEXP","TOT","THND_USD_CAP","A","2018",15581.36,
"PRT","GGEXP","TOT","THND_USD_CAP","A","2019",16147.71,
"SVK","GGEXP","TOT","THND_USD_CAP","A","2010",10637,
"SVK","GGEXP","TOT","THND_USD_CAP","A","2011",10859.76,
"SVK","GGEXP","TOT","THND_USD_CAP","A","2012",11099.69,
"SVK","GGEXP","TOT","THND_USD_CAP","A","2013",11901.74,
"SVK","GGEXP","TOT","THND_USD_CAP","A","2014",12557.27,
"SVK","GGEXP","TOT","THND_USD_CAP","A","2015",13697.39,
"SVK","GGEXP","TOT","THND_USD_CAP","A","2016",12652.06,
"SVK","GGEXP","TOT","THND_USD_CAP","A","2017",12493.09,
"SVK","GGEXP","TOT","THND_USD_CAP","A","2018",13583.68,
"SVK","GGEXP","TOT","THND_USD_CAP","A","2019",14328.1,
"ESP","GGEXP","TOT","THND_USD_CAP","A","2010",14600.58,
"ESP","GGEXP","TOT","THND_USD_CAP","A","2011",14710.58,
"ESP","GGEXP","TOT","THND_USD_CAP","A","2012",15435.83,
"ESP","GGEXP","TOT","THND_USD_CAP","A","2013",14873.8,
"ESP","GGEXP","TOT","THND_USD_CAP","A","2014",15133.26,
"ESP","GGEXP","TOT","THND_USD_CAP","A","2015",15330.68,
"ESP","GGEXP","TOT","THND_USD_CAP","A","2016",15836.56,
"ESP","GGEXP","TOT","THND_USD_CAP","A","2017",16358.43,
"ESP","GGEXP","TOT","THND_USD_CAP","A","2018",17523.22,
"ESP","GGEXP","TOT","THND_USD_CAP","A","2019",18279.89,
"SWE","GGEXP","TOT","THND_USD_CAP","A","2010",21291.73,
"SWE","GGEXP","TOT","THND_USD_CAP","A","2011",22159.15,
"SWE","GGEXP","TOT","THND_USD_CAP","A","2012",23117.95,
"SWE","GGEXP","TOT","THND_USD_CAP","A","2013",23890.95,
"SWE","GGEXP","TOT","THND_USD_CAP","A","2014",23919.85,
"SWE","GGEXP","TOT","THND_USD_CAP","A","2015",24227.42,
"SWE","GGEXP","TOT","THND_USD_CAP","A","2016",25080.28,
"SWE","GGEXP","TOT","THND_USD_CAP","A","2017",25663.8,
"SWE","GGEXP","TOT","THND_USD_CAP","A","2018",27529.84,
"SWE","GGEXP","TOT","THND_USD_CAP","A","2019",27984.72,
"CHE","GGEXP","TOT","THND_USD_CAP","A","2010",17603.54,
"CHE","GGEXP","TOT","THND_USD_CAP","A","2011",18606.54,
"CHE","GGEXP","TOT","THND_USD_CAP","A","2012",19429.67,
"CHE","GGEXP","TOT","THND_USD_CAP","A","2013",20733.69,
"CHE","GGEXP","TOT","THND_USD_CAP","A","2014",21095.23,
"CHE","GGEXP","TOT","THND_USD_CAP","A","2015",21936.96,
"CHE","GGEXP","TOT","THND_USD_CAP","A","2016",22677.35,
"CHE","GGEXP","TOT","THND_USD_CAP","A","2017",23058.01,
"CHE","GGEXP","TOT","THND_USD_CAP","A","2018",24076.14,
"CHE","GGEXP","TOT","THND_USD_CAP","A","2019",24633.68,
"TUR","GGEXP","TOT","THND_USD_CAP","A","2010",6129.77,
"TUR","GGEXP","TOT","THND_USD_CAP","A","2011",6528.16,
"TUR","GGEXP","TOT","THND_USD_CAP","A","2012",6850.93,
"TUR","GGEXP","TOT","THND_USD_CAP","A","2013",7291.53,
"TUR","GGEXP","TOT","THND_USD_CAP","A","2014",7698.23,
"TUR","GGEXP","TOT","THND_USD_CAP","A","2015",8205.85,
"TUR","GGEXP","TOT","THND_USD_CAP","A","2016",9036.33,
"TUR","GGEXP","TOT","THND_USD_CAP","A","2017",9605.35,
"TUR","GGEXP","TOT","THND_USD_CAP","A","2018",10108.58,
"GBR","GGEXP","TOT","THND_USD_CAP","A","2010",17239.26,
"GBR","GGEXP","TOT","THND_USD_CAP","A","2011",17005.81,
"GBR","GGEXP","TOT","THND_USD_CAP","A","2012",17470.36,
"GBR","GGEXP","TOT","THND_USD_CAP","A","2013",17543.45,
"GBR","GGEXP","TOT","THND_USD_CAP","A","2014",17794.16,
"GBR","GGEXP","TOT","THND_USD_CAP","A","2015",17997.38,
"GBR","GGEXP","TOT","THND_USD_CAP","A","2016",18326.41,
"GBR","GGEXP","TOT","THND_USD_CAP","A","2017",18939.29,
"GBR","GGEXP","TOT","THND_USD_CAP","A","2018",19975.5,
"GBR","GGEXP","TOT","THND_USD_CAP","A","2019",20500.26,
"USA","GGEXP","TOT","THND_USD_CAP","A","2010",20891.56,
"USA","GGEXP","TOT","THND_USD_CAP","A","2011",20946.29,
"USA","GGEXP","TOT","THND_USD_CAP","A","2012",20737.28,
"USA","GGEXP","TOT","THND_USD_CAP","A","2013",20697.41,
"USA","GGEXP","TOT","THND_USD_CAP","A","2014",21094.04,
"USA","GGEXP","TOT","THND_USD_CAP","A","2015",21533.55,
"USA","GGEXP","TOT","THND_USD_CAP","A","2016",22162.19,
"USA","GGEXP","TOT","THND_USD_CAP","A","2017",22826.26,
"USA","GGEXP","TOT","THND_USD_CAP","A","2018",23839.54,
"USA","GGEXP","TOT","THND_USD_CAP","A","2019",24884.55,
"BRA","GGEXP","TOT","THND_USD_CAP","A","2010",8445.97,
"BRA","GGEXP","TOT","THND_USD_CAP","A","2011",9221.38,
"BRA","GGEXP","TOT","THND_USD_CAP","A","2012",9106.5,
"BRA","GGEXP","TOT","THND_USD_CAP","A","2013",9486.07,
"BRA","GGEXP","TOT","THND_USD_CAP","A","2014",9848.21,
"BRA","GGEXP","TOT","THND_USD_CAP","A","2015",9689.87,
"BRA","GGEXP","TOT","THND_USD_CAP","A","2016",9536.43,
"BRA","GGEXP","TOT","THND_USD_CAP","A","2017",9557.52,
"EST","GGEXP","TOT","THND_USD_CAP","A","2010",8701.85,
"EST","GGEXP","TOT","THND_USD_CAP","A","2011",9174.83,
"EST","GGEXP","TOT","THND_USD_CAP","A","2012",10183.01,
"EST","GGEXP","TOT","THND_USD_CAP","A","2013",10535.39,
"EST","GGEXP","TOT","THND_USD_CAP","A","2014",10920.67,
"EST","GGEXP","TOT","THND_USD_CAP","A","2015",11550.22,
"EST","GGEXP","TOT","THND_USD_CAP","A","2016",12335.36,
"EST","GGEXP","TOT","THND_USD_CAP","A","2017",13327.31,
"EST","GGEXP","TOT","THND_USD_CAP","A","2018",14734.23,
"EST","GGEXP","TOT","THND_USD_CAP","A","2019",15588.46,
"IDN","GGEXP","TOT","THND_USD_CAP","A","2010",1804.1,
"IDN","GGEXP","TOT","THND_USD_CAP","A","2011",2090.56,
"IDN","GGEXP","TOT","THND_USD_CAP","A","2012",2333.39,
"IDN","GGEXP","TOT","THND_USD_CAP","A","2013",2452.92,
"IDN","GGEXP","TOT","THND_USD_CAP","A","2014",2455.15,
"IDN","GGEXP","TOT","THND_USD_CAP","A","2015",2370.36,
"IDN","GGEXP","TOT","THND_USD_CAP","A","2016",2512.13,
"IDN","GGEXP","TOT","THND_USD_CAP","A","2017",2537.35,
"ISR","GGEXP","TOT","THND_USD_CAP","A","2010",11838.89,
"ISR","GGEXP","TOT","THND_USD_CAP","A","2011",12388.42,
"ISR","GGEXP","TOT","THND_USD_CAP","A","2012",13056.83,
"ISR","GGEXP","TOT","THND_USD_CAP","A","2013",14064.83,
"ISR","GGEXP","TOT","THND_USD_CAP","A","2014",13579.43,
"ISR","GGEXP","TOT","THND_USD_CAP","A","2015",13668.7,
"ISR","GGEXP","TOT","THND_USD_CAP","A","2016",14634.9,
"ISR","GGEXP","TOT","THND_USD_CAP","A","2017",15414.76,
"ISR","GGEXP","TOT","THND_USD_CAP","A","2018",16752.25,
"ISR","GGEXP","TOT","THND_USD_CAP","A","2019",17134.64,
"RUS","GGEXP","TOT","THND_USD_CAP","A","2011",8094.39,
"RUS","GGEXP","TOT","THND_USD_CAP","A","2012",8856.93,
"RUS","GGEXP","TOT","THND_USD_CAP","A","2013",9780.29,
"RUS","GGEXP","TOT","THND_USD_CAP","A","2014",10368.15,
"RUS","GGEXP","TOT","THND_USD_CAP","A","2015",9055.48,
"RUS","GGEXP","TOT","THND_USD_CAP","A","2016",9527.66,
"RUS","GGEXP","TOT","THND_USD_CAP","A","2017",9860.24,
"RUS","GGEXP","TOT","THND_USD_CAP","A","2018",10516.42,
"SVN","GGEXP","TOT","THND_USD_CAP","A","2010",13971.45,
"SVN","GGEXP","TOT","THND_USD_CAP","A","2011",14713.5,
"SVN","GGEXP","TOT","THND_USD_CAP","A","2012",14336.67,
"SVN","GGEXP","TOT","THND_USD_CAP","A","2013",18067.9,
"SVN","GGEXP","TOT","THND_USD_CAP","A","2014",15696.39,
"SVN","GGEXP","TOT","THND_USD_CAP","A","2015",15408,
"SVN","GGEXP","TOT","THND_USD_CAP","A","2016",15668.9,
"SVN","GGEXP","TOT","THND_USD_CAP","A","2017",16145.43,
"SVN","GGEXP","TOT","THND_USD_CAP","A","2018",17490.09,
"SVN","GGEXP","TOT","THND_USD_CAP","A","2019",18362.23,
"OECD","GGEXP","TOT","THND_USD_CAP","A","2010",15714,
"OECD","GGEXP","TOT","THND_USD_CAP","A","2011",16009,
"OECD","GGEXP","TOT","THND_USD_CAP","A","2012",16212,
"OECD","GGEXP","TOT","THND_USD_CAP","A","2013",16561,
"OECD","GGEXP","TOT","THND_USD_CAP","A","2014",16802,
"OECD","GGEXP","TOT","THND_USD_CAP","A","2015",17069,
"OECD","GGEXP","TOT","THND_USD_CAP","A","2016",17579,
"OECD","GGEXP","TOT","THND_USD_CAP","A","2017",18139,
"OECD","GGEXP","TOT","THND_USD_CAP","A","2018",19213,
"OECD","GGEXP","TOT","THND_USD_CAP","A","2019",19991,
"COL","GGEXP","TOT","THND_USD_CAP","A","2010",4059.15,
"COL","GGEXP","TOT","THND_USD_CAP","A","2011",4403.44,
"COL","GGEXP","TOT","THND_USD_CAP","A","2012",4759.72,
"COL","GGEXP","TOT","THND_USD_CAP","A","2013",5254.86,
"COL","GGEXP","TOT","THND_USD_CAP","A","2014",6053.58,
"COL","GGEXP","TOT","THND_USD_CAP","A","2015",6020.02,
"COL","GGEXP","TOT","THND_USD_CAP","A","2016",6105.07,
"COL","GGEXP","TOT","THND_USD_CAP","A","2017",6516.22,
"COL","GGEXP","TOT","THND_USD_CAP","A","2018",6976.89,"P"
"COL","GGEXP","TOT","THND_USD_CAP","A","2019",7567.2,
"LVA","GGEXP","TOT","THND_USD_CAP","A","2010",8121.88,
"LVA","GGEXP","TOT","THND_USD_CAP","A","2011",8137.13,
"LVA","GGEXP","TOT","THND_USD_CAP","A","2012",8258.07,
"LVA","GGEXP","TOT","THND_USD_CAP","A","2013",8721.33,
"LVA","GGEXP","TOT","THND_USD_CAP","A","2014",9267.53,
"LVA","GGEXP","TOT","THND_USD_CAP","A","2015",9649.53,
"LVA","GGEXP","TOT","THND_USD_CAP","A","2016",9984.74,
"LVA","GGEXP","TOT","THND_USD_CAP","A","2017",11134.37,
"LVA","GGEXP","TOT","THND_USD_CAP","A","2018",12511.8,
"LVA","GGEXP","TOT","THND_USD_CAP","A","2019",12675.85,
"OAVG","GGEXP","TOT","THND_USD_CAP","A","2010",16372,
"OAVG","GGEXP","TOT","THND_USD_CAP","A","2011",16557,
"OAVG","GGEXP","TOT","THND_USD_CAP","A","2012",16875,
"OAVG","GGEXP","TOT","THND_USD_CAP","A","2013",17590,
